Pclass,sex,age,fare,survived
3,Male,3,72.03,FALSE
2,Female,31,15.95,FALSE
3,Female,23,88.34,TRUE
2,Male,54,79.25,TRUE
2,Female,61,60.99,TRUE
2,Male,45,38.36,FALSE
1,Male,1,9.83,FALSE
3,Male,10,59.13,TRUE
2,Female,37,96.03,FALSE
2,Male,51,10.87,TRUE
1,Female,56,94.6,FALSE
1,Female,19,42.44,TRUE
3,Male,30,36.18,FALSE
3,Male,1,64.43,FALSE
3,Male,74,73.39,FALSE
3,Female,30,43.49,FALSE
3,Male,65,1.67,TRUE
2,Male,57,98.85,FALSE
3,Female,62,94.49,TRUE
1,Male,79,94.15,FALSE
2,Male,23,90.13,TRUE
3,Male,30,83.59,FALSE
1,Male,14,26.56,FALSE
1,Female,7,81.65,FALSE
3,Female,3,63.14,FALSE
3,Male,34,52.62,FALSE
1,Female,4,30.17,TRUE
1,Male,61,9,TRUE
3,Female,48,60.02,FALSE
1,Male,49,27.47,FALSE
1,Female,30,57.84,TRUE
2,Female,39,90.05,TRUE
2,Male,21,13.85,TRUE
3,Male,55,41.33,FALSE
3,Female,64,33.73,FALSE
2,Female,4,28.13,TRUE
3,Male,72,35.53,TRUE
3,Female,16,5.5,TRUE
2,Female,19,18.51,TRUE
3,Male,16,28.94,TRUE
2,Female,71,45.01,TRUE
3,Female,18,88.61,TRUE
1,Female,53,57.47,FALSE
2,Male,27,41.28,FALSE
3,Male,19,72.24,TRUE
3,Male,5,99.89,TRUE
1,Female,46,49.36,TRUE
1,Male,65,1.25,TRUE
3,Female,3,38.85,FALSE
3,Male,80,73,TRUE
3,Female,4,6.33,TRUE
1,Male,22,43.44,FALSE
2,Female,75,95.89,TRUE
1,Male,73,42.91,TRUE
2,Male,54,84.92,TRUE
1,Female,53,92.66,FALSE
3,Male,51,86.65,TRUE
2,Female,43,17.29,FALSE
2,Male,36,19.5,FALSE
3,Female,72,68.25,FALSE
2,Male,78,85.03,TRUE
3,Female,10,75.02,TRUE
1,Female,36,23.82,TRUE
1,Male,62,93.66,FALSE
1,Male,6,66.38,TRUE
3,Female,70,24.06,TRUE
1,Female,12,96.87,FALSE
3,Female,39,25.68,FALSE
1,Male,44,32.57,TRUE
3,Male,22,99.8,TRUE
2,Male,54,63.04,TRUE
3,Female,10,62.9,FALSE
2,Female,49,38.76,TRUE
3,Male,77,21.55,TRUE
2,Female,77,96.17,FALSE
3,Male,16,42.22,FALSE
1,Female,73,93.65,TRUE
1,Male,75,77.56,FALSE
3,Female,66,79.09,FALSE
1,Female,58,53.59,TRUE
2,Female,3,72.08,FALSE
1,Female,80,48.58,FALSE
3,Female,7,26.9,TRUE
3,Female,61,99.03,TRUE
2,Female,27,74.17,TRUE
2,Male,36,9.67,TRUE
1,Male,59,13.74,FALSE
3,Male,12,8.45,FALSE
2,Male,6,45.96,TRUE
2,Female,43,95.84,TRUE
2,Male,15,60.89,TRUE
3,Male,25,62.4,TRUE
3,Male,22,98.17,TRUE
2,Male,39,23.96,TRUE
3,Female,2,3.23,FALSE
1,Male,68,42.73,FALSE
1,Male,80,39.16,TRUE
3,Female,68,67.24,TRUE
1,Male,11,36.82,TRUE
2,Male,58,26.88,FALSE
3,Female,38,93.73,FALSE
3,Female,40,53.95,FALSE
2,Male,24,91.35,TRUE
2,Female,18,12.18,FALSE
3,Female,43,64.73,TRUE
3,Female,77,1.45,TRUE
3,Male,35,2.66,TRUE
1,Female,26,80.6,TRUE
2,Male,47,13.21,TRUE
1,Female,69,97.1,FALSE
1,Female,25,54.25,FALSE
1,Male,8,49.06,FALSE
2,Male,38,59.86,FALSE
2,Female,50,26.6,FALSE
1,Male,13,43.71,TRUE
2,Male,29,21.39,TRUE
3,Female,5,53.85,TRUE
3,Male,18,18.17,FALSE
2,Male,22,85.85,FALSE
1,Male,68,30.29,TRUE
1,Female,75,54.34,FALSE
3,Female,38,99.3,TRUE
3,Female,41,20.94,FALSE
1,Female,57,56.4,FALSE
3,Female,13,81.76,TRUE
1,Male,80,61.07,TRUE
